Date,Open
2015-11-23,363.0
2015-11-24,371.7
2015-11-26,373.4
2015-11-27,381.5
2015-11-30,379.6
2015-12-01,379.9
2015-12-02,388.3
2015-12-03,382.0
2015-12-04,380.2
2015-12-07,391.65
2015-12-08,382.1
2015-12-09,374.2
2015-12-10,375.0
2015-12-11,369.0
2015-12-14,368.2
2015-12-15,369.9
2015-12-16,367.0
2015-12-17,376.2
2015-12-18,375.5
2015-12-21,372.65
2015-12-22,375.15
2015-12-23,374.1
2015-12-24,377.0
2015-12-28,388.3
2015-12-29,403.0
2015-12-30,392.05
2015-12-31,393.0
2016-01-01,390.1
2016-01-04,388.0
2016-01-05,400.0
2016-01-06,402.0
2016-01-07,397.9
2016-01-08,389.0
2016-01-11,385.0
2016-01-12,374.9
2016-01-13,375.1
2016-01-14,355.0
2016-01-15,359.9
2016-01-18,353.9
2016-01-19,344.8
2016-01-20,335.6
2016-01-21,339.85
2016-01-22,337.0
2016-01-25,349.95
2016-01-27,341.8
2016-01-28,349.0
2016-01-29,351.0
2016-02-01,352.55
2016-02-02,353.0
2016-02-03,341.1
2016-02-04,344.0
2016-02-05,344.75
2016-02-08,343.0
2016-02-09,330.0
2016-02-10,334.0
2016-02-11,330.0
2016-02-12,327.5
2016-02-15,325.0
2016-02-16,325.0
2016-02-17,318.2
2016-02-18,318.2
2016-02-19,322.6
2016-02-22,320.05
2016-02-23,324.45
2016-02-24,316.0
2016-02-25,321.75
2016-02-26,319.9
2016-02-29,319.0
2016-03-01,309.0
2016-03-02,302.95
2016-03-03,307.7
2016-03-04,310.8
2016-03-08,312.0
2016-03-09,309.0
2016-03-10,313.0
2016-03-11,312.0
2016-03-14,311.9
2016-03-15,309.35
2016-03-16,308.45
2016-03-17,307.0
2016-03-18,307.9
2016-03-21,313.5
2016-03-22,317.05
2016-03-23,317.05
2016-03-28,317.9
2016-03-29,314.9
2016-03-30,312.65
2016-03-31,315.1
2016-04-01,314.4
2016-04-04,320.95
2016-04-05,312.5
2016-04-06,313.5
2016-04-07,321.0
2016-04-08,317.0
2016-04-11,319.0
2016-04-12,318.75
2016-04-13,321.0
2016-04-18,317.7
2016-04-20,315.0
2016-04-21,317.95
2016-04-22,317.7
2016-04-25,319.1
2016-04-26,316.0
2016-04-27,318.9
2016-04-28,328.55
2016-04-29,330.0
2016-05-02,332.5
2016-05-03,335.0
2016-05-04,335.1
2016-05-05,328.0
2016-05-06,320.9
2016-05-09,329.1
2016-05-10,332.0
2016-05-11,325.0
2016-05-12,332.0
2016-05-13,325.4
2016-05-16,329.5
2016-05-17,331.25
2016-05-18,341.9
2016-05-19,345.45
2016-05-20,341.6
2016-05-23,339.15
2016-05-24,341.8
2016-05-25,342.3
2016-05-26,345.0
2016-05-27,348.25
2016-05-30,351.9
2016-05-31,350.0
2016-06-01,350.0
2016-06-02,348.0
2016-06-03,352.15
2016-06-06,351.15
2016-06-07,350.15
2016-06-08,352.5
2016-06-09,352.15
2016-06-10,359.8
2016-06-13,353.6
2016-06-14,349.0
2016-06-15,351.0
2016-06-16,350.0
2016-06-17,351.6
2016-06-20,350.0
2016-06-21,351.6
2016-06-22,354.15
2016-06-23,357.9
2016-06-24,352.25
2016-06-27,349.0
2016-06-28,350.8
2016-06-29,349.7
2016-06-30,352.7
2016-07-01,352.5
2016-07-04,370.0
2016-07-05,372.5
2016-07-07,373.05
2016-07-08,368.0
2016-07-11,363.0
2016-07-12,364.85
2016-07-13,371.8
2016-07-14,368.55
2016-07-15,370.0
2016-07-18,369.2
2016-07-19,362.0
2016-07-20,369.0
2016-07-21,374.5
2016-07-22,376.35
2016-07-25,375.4
2016-07-26,375.0
2016-07-27,374.0
2016-07-28,372.85
2016-07-29,370.2
2016-08-01,369.0
2016-08-02,367.65
2016-08-03,372.95
2016-08-04,367.5
2016-08-05,370.25
2016-08-08,376.1
2016-08-09,379.4
2016-08-10,373.0
2016-08-11,363.95
2016-08-12,367.8
2016-08-16,369.95
2016-08-17,371.0
2016-08-18,370.0
2016-08-19,375.05
2016-08-22,375.0
2016-08-23,373.45
2016-08-24,372.0
2016-08-25,387.9
2016-08-26,385.45
2016-08-29,384.95
2016-08-30,385.2
2016-08-31,385.0
2016-09-01,381.65
2016-09-02,383.7
2016-09-06,391.8
2016-09-07,392.5
2016-09-08,397.0
2016-09-09,397.0
2016-09-12,397.0
2016-09-14,393.1
2016-09-15,391.0
2016-09-16,392.0
2016-09-19,403.95
2016-09-20,401.6
2016-09-21,404.85
2016-09-22,406.3
2016-09-23,406.9
2016-09-26,404.0
2016-09-27,405.0
2016-09-28,407.3
2016-09-29,406.0
2016-09-30,397.05
2016-10-03,403.1
2016-10-04,415.4
2016-10-05,415.05
2016-10-06,414.0
2016-10-07,412.0
2016-10-10,419.0
2016-10-13,412.0
2016-10-14,416.9
2016-10-17,418.45
2016-10-18,414.85
2016-10-19,410.25
2016-10-20,414.4
2016-10-21,414.65
2016-10-24,412.8
2016-10-25,417.0
2016-10-26,414.1
2016-10-27,410.05
2016-10-28,411.9
2016-10-30,418.8
2016-11-01,417.0
2016-11-02,415.0
2016-11-03,409.2
2016-11-04,410.0
2016-11-07,403.0
2016-11-08,407.9
2016-11-09,399.9
2016-11-10,408.95
2016-11-11,409.5
2016-11-15,405.1
2016-11-16,412.0
2016-11-17,408.5
2016-11-18,410.3
2016-11-21,419.8
2016-11-22,420.0
2016-11-23,430.1
2016-11-24,440.55
2016-11-25,440.5
2016-11-28,436.5
2016-11-29,424.75
2016-11-30,418.0
2016-12-01,426.5
2016-12-02,428.15
2016-12-05,427.5
2016-12-06,438.25
2016-12-07,437.0
2016-12-08,436.0
2016-12-09,445.0
2016-12-12,449.5
2016-12-13,445.0
2016-12-14,443.9
2016-12-15,442.1
2016-12-16,440.0
2016-12-19,440.1
2016-12-20,442.05
2016-12-21,440.0
2016-12-22,439.0
2016-12-23,439.3
2016-12-26,437.7
2016-12-27,428.75
2016-12-28,436.65
2016-12-29,437.6
2016-12-30,443.75
2017-01-02,452.7
2017-01-03,455.85
2017-01-04,462.05
2017-01-05,456.95
2017-01-06,471.9
2017-01-09,480.0
2017-01-10,480.0
2017-01-11,484.0
2017-01-12,346.15
2017-01-13,350.0
2017-01-16,345.7
2017-01-17,343.6
2017-01-18,341.0
2017-01-19,337.7
2017-01-20,334.9
2017-01-23,329.05
2017-01-24,339.95
2017-01-25,337.8
2017-01-27,338.35
2017-01-30,339.0
2017-01-31,337.1
2017-02-01,332.0
2017-02-02,332.25
2017-02-03,343.9
2017-02-06,348.0
2017-02-07,349.8
2017-02-08,334.35
2017-02-09,338.0
2017-02-10,347.2
2017-02-13,334.0
2017-02-14,335.5
2017-02-15,336.2
